Common_Name,Repoductive_guild
Alewife,Phyto-lithophils
American eel,
Bigmouth buffalo,
Bluegill,
Bluntnose minnow,
Bowfin,
Brook silverside,
Brown bullhead,
Carp,
Chinook salmon,
Common shiner,
Emerald shiner,
Gizzard shad,
Golden shiner,
Goldfish,
Green sunfish,
Largemouth bass,
Logperch,
Northern pike,
Pumpkinseed,
Rock bass,
Round Goby,
Rudd,
Shorthead redhorse,
Smallmouth bass,
Spottail shiner,
Walleye(yellow pickerel),
White perch,
White sucker,
Yellow perch,
