"","TimePeriod","Area","AreaTP","Count"
"1","Construction","Construction Site","Construction Site-Construction",4
"2","Construction","Macassa Bay","Macassa Bay-Construction",18
"3","Construction","Piers 5-7","Piers 5-7-Construction",16
"4","Post","Construction Site","Construction Site-Post",11
"5","Post","Macassa Bay","Macassa Bay-Post",23
"6","Post","Piers 5-7","Piers 5-7-Post",20
"7","Pre","Construction Site","Construction Site-Pre",15
"8","Pre","Macassa Bay","Macassa Bay-Pre",22
"9","Pre","Piers 5-7","Piers 5-7-Pre",23
