Sample,Location,Transect,Date,Time,Estimate,F0014,F0041,F0051,F0061,F0063,F0073,F0075,F0076,F0078,F0081,F0121,F0131,F0163,F0166,F0168,F0170,F0171,F0177,F0181,F0186,F0194,F0196,F0198,F0201,F0203,F0208,F0209,F0220,F0231,F0233,F0234,F0236,F0251,F0282,F0291,F0301,F0302,F0311,F0312,F0313,F0314,F0316,F0317,F0319,F0320,F0331,F0334,F0341,F0342,F0361,F0366,F0371,F0601,F0702,Time Period
1600,HAMH,HH11,1988-06-07,9:15:00 PM,N,,,,1214,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,3260,,,1935,,,,,,,,,,77,,,,,,,,,3
1601,HAMH,HH9,1988-06-07,9:55:00 PM,N,,,,1256,,,16,,,,,,1700,,,,,,,,,5,,,,,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,2
1603,HAMH,HH3,1988-06-08,5:33:00 PM,N,,,,112,,,,,,,,,,,,,,,,6140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,,,1
1604,HAMH,HH5,1988-06-08,5:45:00 PM,N,,,,3207,,,6,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,77,,,,,,,,,,59.1,,,,,,,,,1
1605,HAMH,HH7,1988-06-08,6:15:00 PM,N,,,,1949,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,57,,,,,,,,,,,,,,,,,,,1
1606,HAMH,HH17,1988-06-08,6:45:00 PM,N,,,,1885,,,6,,,,,,,,,,,,,,,,,,,,,,,628,,,,,,,,,,123,,,,,,217,,,,,,,,,1
1607,HAMH,HH19,1988-06-08,7:07:00 PM,N,,,,2027.1,,,,,,,,,,,,,,,,,,,,,,,,,,9609,,,,,,,,,,,,,,,,174,,,,,,,,,1
1608,HAMH,HH40,1988-06-08,9:03:00 PM,N,,,,2250,,,25,,,,,1400,560,,,,,,1020,12270,,,,,,,,,,2600,,,,,,,,,,,,,710,,,109,,,,,,,,,3
1609,HAMH,HH38,1988-06-08,10:03:00 PM,N,,,,3582,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1610,HAMH,HH36,1988-06-09,5:04:00 PM,N,,,,673,,,47,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1611,HAMH,HH34,1988-06-09,5:24:00 PM,N,,,,131,,,10,,,,,,,,,,,,,11700,,49,,,,,,,,385,,,,,,1690,,,,,,,,,,,,,,,,,,,1
1612,HAMH,HH32,1988-06-09,5:54:00 PM,N,,,,2033,,,,,,,7,,,,,,,,730,,,5,,,,,,,,103,,,,,10,,,,,,,,,,,,,,,,,,,,1
1613,HAMH,HH30,1988-06-09,6:40:00 PM,N,,,,2349,,,44,,,,,,,,,,,,,,,16,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,1
1614,HAMH,HH28,1988-06-09,7:52:00 PM,N,,,,1739,,,,,,,,,1645,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,1
