ACCESS_CODE,GENUS,SPECIES,COMMON_NAME,,,,,,,,,,,,,,,,
F0193,Nocomis,micropogon,River chub,,,,,,,,,,,,,,,,
F0194,Notemigonus,crysoleucas,Golden shiner,,,,,,,,,,,,,,,,
F0195,Notropis,anogenus,Pugnose shiner,,,,,,,,,,,,,,,,
F0196,Notropis,atherinoides,Emerald shiner,,,,,,,,,,,,,,,,
F0197,Notropis,bifrenatus,Bridle shiner,,,,,,,,,,,,,,,,
F0198,Luxilus,cornutus,Common shiner,,,,,,,,,,,,,,,,
F0199,Notropis,heterodon,Blackchin shiner,,,,,,,,,,,,,,,,
F0200,Notropis,heterolepis,Blacknose shiner,,,,,,,,,,,,,,,,
F0201,Notropis,hudsonius,Spottail shiner,,,,,,,,,,,,,,,,
F0202,Notropis,rubellus,Rosyface shiner,,,,,,,,,,,,,,,,
F0203,Cyprinella,spiloptera,Spotfin shiner,,,,,,,,,,,,,,,,
F0204,Notropis,stramineus,Sand shiner,,,,,,,,,,,,,,,,
F0205,Notropis,umbratilis,Redfin shiner,,,,,,,,,,,,,,,,
F0206,Notropis,volucellus,Mimic shiner,,,,,,,,,,,,,,,,
F0207,Opsopoeodus,emiliae,Pugnose minnow,,,,,,,,,,,,,,,,
F0208,Pimephales,notatus,Bluntnose minnow,,,,,,,,,,,,,,,,
F0209,Pimephales,promelas,Fathead minnow,,,,,,,,,,,,,,,,
F0210,Rhinichthys,atratulus,Blacknose dace,,,,,,,,,,,,,,,,
F0211,Rhinichthys,cataractae,Longnose dace,,,,,,,,,,,,,,,,
F0212,Semotilus,atromaculatus,Creek chub,,,,,,,,,,,,,,,,
F0213,Semotilus,corporalis,Fallfish,,,,,,,,,,,,,,,,
F0214,Margariscus,margarita,Pearl dace,,,,,,,,,,,,,,,,
F0215,Notropis,photogenis,Silver shiner,,,,,,,,,,,,,,,,
F0216,Campostoma,anomalum,Stoneroller,,,,,,,,,,,,,,,,
F0217,Notropis,chrysocephalus,Striped shiner,,,,,,,,,,,,,,,,
F0218,Notropis,buchanani,Ghost shiner,,,,,,,,,,,,,,,,
F0220,Scardinus,erythrophthalmus,Rudd,,,,,,,,,,,,,,,,
F0224,Notropis,,Notropis sp.,,,,,,,,,,,,,,,,
F0227,Semotilus,,Semotilus sp.,,,,,,,,,,,,,,,,
F0231,Ameiurus,melas,Black bullhead,,,,,,,,,,,,,,,,
F0232,Ameiurus,natalis,Yellow bullhead,,,,,,,,,,,,,,,,
F0233,Ameiurus,nebulosus,Brown bullhead,,,,,,,,,,,,,,,,
F0234,Ictalurus,punctatus,Channel catfish,,,,,,,,,,,,,,,,
F0235,Noturus,flavus,Stonecat,,,,,,,,,,,,,,,,
F0236,Noturus,gyrinus,Tadpole madtom,,,,,,,,,,,,,,,,
F0237,Noturus,miurus,Brindled madtom,,,,,,,,,,,,,,,,
F0238,Noturus,insignis,Margined madtom,,,,,,,,,,,,,,,,
F0239,Pylodictis,olivaris,Flathead catfish,,,,,,,,,,,,,,,,
F0251,Anguilla,rostrata,American eel,,,,,,,,,,,,,,,,
F0261,Fundulus,diaphanus,Banded killifish,,,,,,,,,,,,,,,,
F0262,Fundulus,notatus,Blackstripe topminnow,,,,,,,,,,,,,,,,
F0271,Lota,lota,Burbot,,,,,,,,,,,,,,,,
F0280,,,Sticklebacks,,,,,,,,,,,,,,,,
F0281,Culaea,inconstans,Brook stickleback,,,,,,,,,,,,,,,,
F0282,Gasterosteus,aculeatus,Threespine stickleback,,,,,,,,,,,,,,,,
F0283,Pungitius,pungitius,Ninespine stickleback,,,,,,,,,,,,,,,,
F0284,Apeltes,quadracus,Fourspine stickleback,,,,,,,,,,,,,,,,
F0291,Percopsis,omiscomaycus,Trout-perch,,,,,,,,,,,,,,,,
F0301,Morone,americana,White perch,,,,,,,,,,,,,,,,
F0302,Morone,chrysops,White bass,,,,,,,,,,,,,,,,
F0310,,,Centrarchidae,,,,,,,,,,,,,,,,
F0311,Ambloplites,rupestris,Rock bass,,,,,,,,,,,,,,,,
F0312,Lepomis,cyanellus,Green sunfish,,,,,,,,,,,,,,,,
F0313,Lepomis,gibbosus,Pumpkinseed,,,,,,,,,,,,,,,,
F0314,Lepomis,macrochirus,Bluegill,,,,,,,,,,,,,,,,
F0315,Lepomis,megalotis,Longear sunfish,,,,,,,,,,,,,,,,
F0316,Micropterus,dolomieu,Smallmouth bass,,,,,,,,,,,,,,,,
F0317,Micropterus,salmoides,Largemouth bass,,,,,,,,,,,,,,,,
F0318,Pomoxis,annularis,White crappie,,,,,,,,,,,,,,,,
F0319,Pomoxis,nigromaculatus,Black crappie,,,,,,,,,,,,,,,,
F0320,Lepomis,,Sunfish sp.,,,,,,,,,,,,,,,,
F0323,Lepomis,gulosus,Warmouth,,,,,,,,,,,,,,,,
F0324,Lepomis,humilis,Orangespotted sunfish,,,,,,,,,,,,,,,,
F0331,Perca,flavescens,Yellow perch,,,,,,,,,,,,,,,,
F0332,Stizostedion,canadense,Sauger,,,,,,,,,,,,,,,,
F0333,Stizostedion,vitreum glaucum,Blue pike(pickerel),,,,,,,,,,,,,,,,
F0334,Stizostedion,vitreum vitreum,Walleye(yellow pickerel),,,,,,,,,,,,,,,,
F0335,Ammocrypta,pellucida,Eastern sand darter,,,,,,,,,,,,,,,,
F0336,Etheostoma,blennioides,Greenside darter,,,,,,,,,,,,,,,,
F0337,Etheostoma,caeruleum,Rainbow darter,,,,,,,,,,,,,,,,
F0338,Etheostoma,exile,Iowa darter,,,,,,,,,,,,,,,,
F0339,Etheostoma,flabellare,Fantail darter,,,,,,,,,,,,,,,,
F0340,Etheostoma,microperca,Least darter,,,,,,,,,,,,,,,,
F0341,Etheostoma,nigrum,Johnny darter,,,,,,,,,,,,,,,,
F0342,Percina,caprodes,Logperch,,,,,,,,,,,,,,,,
F0343,Percina,copelandi,Channel darter,,,,,,,,,,,,,,,,
F0344,Percina,maculata,Blackside darter,,,,,,,,,,,,,,,,
F0345,Percina,shumardi,River darter,,,,,,,,,,,,,,,,
F0346,Etheostoma,olmstedi,Tessellated darter,,,,,,,,,,,,,,,,
F0348,Etheostoma,,Etheostoma sp.,,,,,,,,,,,,,,,,
F0361,Labidesthes,sicculus,Brook silverside,,,,,,,,,,,,,,,,
F0366,Neogobius,melanostomus,Round Goby,,,,,,,,,,,,,,,,
F0367,Proterorhinus,maroratus,Tubenose Goby,,,,,,,,,,,,,,,,
F0371,Aplodinotus,grunniens,Freshwater drum,,,,,,,,,,,,,,,,
F0381,Cottus,bairdi,Mottled sculpin,,,,,,,,,,,,,,,,
F0382,Cottus,cognatus,Slimy sculpin,,,,,,,,,,,,,,,,
F0383,Cottus,ricei,Spoonhead sculpin,,,,,,,,,,,,,,,,
F0385,Cottus,,Sculpins,,,,,,,,,,,,,,,,
F0387,Myoxocephalus,quadricornis,Fourhorn sculpin,,,,,,,,,,,,,,,,
F0391,Cyclopterus,lumpus,Lumpfish,,,,,,,,,,,,,,,,
F0601,Carassius x Cyprinus,,Carp x Goldfish hybrid,,,,,,,,,,,,,,,,
F0702,Lepomis,gibbosus x macrochir,FISH Pumpkinseed - Bl,,,,,,,,,,,,,,,,
F1032,Acipenser,oxyrhynchus,Atlantic sturgeon,,,,,,,,,,,,,,,,
F1033,Acipenser,brevirostrum,Shortnose sturgeon,,,,,,,,,,,,,,,,
F1034,Acipenser,,Sturgeon sp.,,,,,,,,,,,,,,,,
F1064,Alosa,aestivalis,Blueback herring,,,,,,,,,,,,,,,,
F1089,Salmo,salar,Atlantic salmon(a),,,,,,,,,,,,,,,,
F1108,Coregonus,canadensis,Atlantic whitefish,,,,,,,,,,,,,,,,
F1122,Osmerus,spectrum,Pygmy smelt,,,,,,,,,,,,,,,,
F1134,Esox,americanus american.,Redfin pickerel,,,,,,,,,,,,,,,,
F1175,Moxostoma,hubbsi,Copper redhorse,,,,,,,,,,,,,,,,
F1229,Couesius,,Couesius sp.,,,,,,,,,,,,,,,,
F1263,Fundulus,heteroclitus,Mummichog,,,,,,,,,,,,,,,,
F1272,Microgadus,tomcod,Atlantic tomcod,,,,,,,,,,,,,,,,
F1285,Gasterosteus,wheatlandi,Blackspotted stickleback,,,,,,,,,,,,,,,,
F1304,Morone,saxatilis,Striped bass,,,,,,,,,,,,,,,,
F1325,Lepomis,auritus,Redbreast sunfish,,,,,,,,,,,,,,,,
F1385,Myoxocephalus,scorpius,Common(shorthorn) sculpin,,,,,,,,,,,,,,,,
